collection_timestamp,event_id,event_name,event_date,team1,score1,team2,score2,top_scorer,top_rebounder,top_assist,team1_top_scorer,team1_top_rebounder,team1_top_assist,team2_top_scorer,team2_top_rebounder,team2_top_assist
2025-03-19 08:41:48,401705559,Atlanta Hawks at Charlotte Hornets,2025-03-18T23:00Z,Charlotte Hornets,102,Atlanta Hawks,134,,,,DaQuan Jeffries: 19,Damion Baugh: 9,Damion Baugh: 5,Trae Young: 31,Onyeka Okongwu: 10,Trae Young: 8
2025-03-19 08:41:48,401705560,Brooklyn Nets at Boston Celtics,2025-03-18T23:30Z,Boston Celtics,104,Brooklyn Nets,96,,,,Kristaps Porzingis: 25,Kristaps Porzingis: 13,Jrue Holiday: 8,D'Angelo Russell: 18,Nic Claxton: 9,D'Angelo Russell: 7
2025-03-19 08:41:48,401705578,Milwaukee Bucks at Golden State Warriors,2025-03-19T02:00Z,Golden State Warriors,104,Milwaukee Bucks,93,,,,Jimmy Butler III: 24,Draymond Green: 10,Jimmy Butler III: 10,Kyle Kuzma: 22,Giannis Antetokounmpo: 9,Giannis Antetokounmpo: 7
2025-03-19 08:41:48,401705563,Cleveland Cavaliers at LA Clippers,2025-03-19T02:30Z,LA Clippers,132,Cleveland Cavaliers,119,,,,Kawhi Leonard: 33,Ivica Zubac: 20,James Harden: 9,Max Strus: 24,Jarrett Allen: 8,Donovan Mitchell: 11
2025-03-19 20:17:44,401705564,Dallas Mavericks at Indiana Pacers,2025-03-19T23:00Z,Indiana Pacers,0,Dallas Mavericks,0,,,,,,,,,
2025-03-19 20:17:44,401705565,Houston Rockets at Orlando Magic,2025-03-19T23:00Z,Orlando Magic,0,Houston Rockets,0,,,,,,,,,
2025-03-19 20:17:44,401705566,Detroit Pistons at Miami Heat,2025-03-19T23:30Z,Miami Heat,0,Detroit Pistons,0,,,,,,,,,
2025-03-19 20:17:44,401705567,New Orleans Pelicans at Minnesota Timberwolves,2025-03-20T00:00Z,Minnesota Timberwolves,0,New Orleans Pelicans,0,,,,,,,,,
2025-03-19 20:17:44,401705568,Philadelphia 76ers at Oklahoma City Thunder,2025-03-20T00:00Z,Oklahoma City Thunder,0,Philadelphia 76ers,0,,,,,,,,,
2025-03-19 20:17:44,401705569,New York Knicks at San Antonio Spurs,2025-03-20T00:00Z,San Antonio Spurs,0,New York Knicks,0,,,,,,,,,
