collection_timestamp,event_id,event_name,event_date,team1,score1,team2,score2,top_scorer,top_rebounder,top_assist,team1_top_scorer,team1_top_rebounder,team1_top_assist,team2_top_scorer,team2_top_rebounder,team2_top_assist
2025-03-18 07:58:21,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,Keyonte George: 16,Walker Kessler: 12,Isaiah Collier: 8,Coby White: 26,Nikola Vucevic: 10,Tre Jones: 12
2025-03-18 07:58:21,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,Jimmy Butler III: 23,Jimmy Butler III: 8,Stephen Curry: 7,Aaron Gordon: 38,Russell Westbrook: 12,Russell Westbrook: 16
2025-03-18 07:58:21,401705557,Toronto Raptors at Phoenix Suns,2025-03-18T02:00Z,Phoenix Suns,129,Toronto Raptors,89,,,,Devin Booker: 27,Royce O'Neale: 10,Devin Booker: 6,Scottie Barnes: 16,Orlando Robinson: 8,Immanuel Quickley: 7
2025-03-18 07:58:21,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,Malik Monk: 28,Keegan Murray: 9,DeMar DeRozan: 8,Desmond Bane: 44,Brandon Clarke: 8,Luke Kennard: 8
2025-03-18 07:58:21,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,Anfernee Simons: 30,Donovan Clingan: 13,Dalano Banton: 5,Alex Sarr: 20,Tristan Vukcevic: 8,Bub Carrington: 8
2025-03-18 07:58:21,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,Austin Reaves: 30,Jaxson Hayes: 11,Luka Doncic: 14,Stephon Castle: 23,Stephon Castle: 8,Chris Paul: 8
2025-03-19 07:41:48,401705559,Atlanta Hawks at Charlotte Hornets,2025-03-18T23:00Z,Charlotte Hornets,102,Atlanta Hawks,134,,,,DaQuan Jeffries: 19,Damion Baugh: 9,Damion Baugh: 5,Trae Young: 31,Onyeka Okongwu: 10,Trae Young: 8
2025-03-19 07:41:48,401705560,Brooklyn Nets at Boston Celtics,2025-03-18T23:30Z,Boston Celtics,104,Brooklyn Nets,96,,,,Kristaps Porzingis: 25,Kristaps Porzingis: 13,Jrue Holiday: 8,D'Angelo Russell: 18,Nic Claxton: 9,D'Angelo Russell: 7
2025-03-19 07:41:48,401705578,Milwaukee Bucks at Golden State Warriors,2025-03-19T02:00Z,Golden State Warriors,104,Milwaukee Bucks,93,,,,Jimmy Butler III: 24,Draymond Green: 10,Jimmy Butler III: 10,Kyle Kuzma: 22,Giannis Antetokounmpo: 9,Giannis Antetokounmpo: 7
2025-03-19 07:41:48,401705563,Cleveland Cavaliers at LA Clippers,2025-03-19T02:30Z,LA Clippers,132,Cleveland Cavaliers,119,,,,Kawhi Leonard: 33,Ivica Zubac: 20,James Harden: 9,Max Strus: 24,Jarrett Allen: 8,Donovan Mitchell: 11
